doc_id,category,comments
doc_00f2233edc0d,Education,Multiple-choice exam questions on financial literacy and budgeting
doc_00f88da2b078,Religion,Quranic text (Surah An-Nas)
doc_017a890a1353,Media,Sports news article covering FIFA leadership and Sepp Blatter
doc_0320579c9b44,Literature,Translated non-fiction literary text about crows and corvids
doc_03f245c53dbb,Religion,Biblical text (Gospel of Matthew)
doc_0543259bfa3d,Religion,Quranic text (Surah Al-Munafiqun)
doc_068a21144901,Politics,Expository reference text on the Constitution of the United Arab Emirates
doc_08492bb4e2e0,Religion,Quranic text (Surah Ali 'Imran)
doc_095943cddbd5,Religion,Prophetic Hadith narration (Sahih Al-Bukhari)
doc_09ce68ed38ae,Education,School textbook lesson outline on the Gulf Cooperation Council (GCC)
doc_0bc8763ff800,Religion,Quranic text (Surah Ali 'Imran)
doc_0bd6abf67d39,Education,Moral education textbook reading passage on community values
doc_0bf9145e7a1e,Education,Multiple-choice school exam questions on home economics
doc_0c3f03cb7410,Religion,Prophetic Hadith text with narrator chain
doc_0c9cfacdacca,Literature,Excerpt from the classical philosophical novella Hayy ibn Yaqzan by Ibn Tufail
doc_0cef21e58564,Education,School textbook listening comprehension prompt and student activity
doc_0d6258e8011b,Literature,Academic or historical study excerpt on the history of theatre
doc_0f6feafed945,Religion,Prophetic Hadith narration on Islamic ethics
doc_0fd3dd0e1c7f,Education,Multiple-choice school exam questions on home economics and hygiene
doc_0fddaa619a23,Children,Early childhood reading practice story with simplified text
doc_100dc983c8cf,Religion,Prophetic Hadith narration (Sahih Al-Bukhari)
doc_10f00a5be838,Education,Multiple-choice school exam questions on practical tools and crafts
doc_1166889728e5,Religion,Biblical text (Book of Genesis)
doc_1352b49fb98b,Literature,Translated non-fiction book excerpt on social history
doc_1356da2f70fb,Children,Children's comic strip from Majid magazine
doc_136d1e498b0f,Literature,Classical Arabic narrative excerpt from One Thousand and One Nights
doc_167eabdea757,Religion,Quranic text (Surah Al-Layl)
doc_17da380a4a51,Religion,Quranic text (Surah An-Nisa)
doc_1840581eb460,Literature,Translated excerpt from Gulliver's Travels by Jonathan Swift
